,Interest,Skill_Level,Work_Style,Education,Personality,Problem_Solving,Tech,Communication,Leadership,Creativity,Career
29,Art,,Solo,Diploma,Leader,Creative,High,Poor,Visionary,Low,Deep Learning Engineer
30,Science,,Solo,PhD,Extrovert,Intuitive,Medium,Average,,High,Software Engineer
31,Science,Intermediate,Team,High School,Leader,Practical,High,Excellent,Strong,Low,Business Analyst
32,Business,Expert,Remote,Bachelors,Thinker,Intuitive,High,Excellent,Moderate,Exceptional,Financial Analyst
33,Business,,Flexible,PhD,Extrovert,Practical,Low,Outstanding,Moderate,Medium,Web Developer
34,Art,Beginner,Team,PhD,Doer,Practical,Medium,Outstanding,Collaborative,Exceptional,Data Analyst
35,Science,Expert,Flexible,Diploma,Doer,Practical,Low,Excellent,Strong,Medium,Business Analyst
36,Technology,Advanced,Team,Masters,Introvert,Analytical,High,Outstanding,Strong,Exceptional,Business Analyst
37,Business,Beginner,Flexible,Diploma,Leader,Logical,,Outstanding,Visionary,Low,Cybersecurity Analyst
38,Medicine,Beginner,Team,Masters,Thinker,Analytical,Medium,Excellent,Collaborative,Medium,Cybersecurity Analyst
39,Medicine,Advanced,Team,Masters,Thinker,Practical,,Poor,Collaborative,Very High,Full Stack Developer
40,Business,,Team,Bachelors,Introvert,Analytical,Very High,Excellent,Visionary,Exceptional,IoT Specialist
41,Business,Advanced,Team,Bachelors,Extrovert,Practical,Medium,Average,Collaborative,Exceptional,Cybersecurity Analyst
42,Technology,Advanced,Flexible,Masters,Thinker,Creative,,Fluent,Strong,Medium,Embedded Systems Engineer
43,Technology,Advanced,Solo,High School,Introvert,Intuitive,High,Fluent,Collaborative,Low,Research Scientist
44,Medicine,Expert,Remote,PhD,Introvert,Practical,Medium,Average,Collaborative,High,Solutions Architect
45,Technology,,Office,Bachelors,Thinker,Practical,High,Poor,Moderate,Low,Network Engineer
46,Medicine,Intermediate,Solo,Masters,Thinker,Analytical,Medium,Average,Strong,Medium,Technical Writer
47,Science,Intermediate,Team,Masters,Extrovert,Intuitive,,Outstanding,Visionary,Very High,DevOps Engineer
48,Medicine,Intermediate,Flexible,Diploma,Introvert,Analytical,Very High,Poor,,Medium,NLP Engineer
49,Art,,Office,Diploma,Leader,Logical,,Excellent,Strong,Exceptional,Technical Writer
50,Science,Advanced,Flexible,Masters,Thinker,Intuitive,,Fluent,Moderate,Low,Database Administrator
51,Science,Intermediate,Remote,Diploma,Leader,Practical,Very High,Fluent,Collaborative,Low,Hardware Engineer
52,Art,Advanced,Flexible,High School,Extrovert,Practical,High,Excellent,Visionary,Very High,Financial Analyst
53,Science,Expert,Team,High School,Thinker,Intuitive,Low,Poor,Visionary,Exceptional,Database Administrator
54,Medicine,Advanced,Flexible,Masters,Introvert,Practical,Very High,Outstanding,,High,Software Engineer
55,Business,Expert,Office,Bachelors,Thinker,Logical,Low,Poor,Strong,Medium,QA Engineer
56,Technology,Expert,Team,High School,Leader,Intuitive,Medium,Excellent,Strong,Medium,Deep Learning Engineer
57,Technology,Advanced,Office,Masters,Leader,Intuitive,Medium,Poor,Visionary,High,Financial Analyst
58,Technology,Advanced,Office,Masters,Introvert,Intuitive,High,Poor,Collaborative,Very High,Cybersecurity Analyst
59,Art,Beginner,Team,PhD,Thinker,Logical,Low,Fluent,Visionary,Medium,Site Reliability Engineer
60,Art,Advanced,Office,Masters,Leader,Creative,Low,Average,Strong,Medium,IoT Specialist
61,Technology,,Solo,Diploma,Introvert,Intuitive,Low,Poor,,Very High,Software Engineer
62,Technology,Expert,Team,Masters,Thinker,Analytical,Medium,Average,,High,ML Engineer
63,Science,Advanced,Flexible,Masters,Leader,Practical,Very High,Poor,Strong,Very High,Financial Analyst
64,Art,Beginner,Team,Masters,Thinker,Creative,Very High,Average,Collaborative,Low,Data Engineer
65,Art,Intermediate,Flexible,PhD,Thinker,Intuitive,Medium,Outstanding,,Medium,AI Ethics Researcher
66,Medicine,Expert,Team,Bachelors,Leader,Logical,,Fluent,,Exceptional,AI Ethics Researcher
67,Art,,Team,Masters,Doer,Creative,Very High,Poor,Collaborative,Exceptional,Automation Engineer
68,Technology,Expert,Remote,Masters,Thinker,Creative,,Fluent,Visionary,Very High,Technical Writer
69,Art,,Solo,PhD,Extrovert,Creative,Medium,Fluent,Moderate,Very High,QA Engineer
70,Science,Intermediate,Solo,High School,Thinker,Logical,Low,Average,Collaborative,Very High,Robotics Engineer
71,Science,Beginner,Flexible,PhD,Introvert,Creative,,Poor,Moderate,High,Technical Writer
72,Science,Beginner,Team,High School,Leader,Practical,Very High,Average,Visionary,High,Robotics Engineer
73,Medicine,Expert,Office,Masters,Thinker,Practical,Medium,Poor,Visionary,Low,Virtual Reality Developer
74,Medicine,Beginner,Office,High School,Doer,Analytical,High,Poor,,Low,Virtual Reality Developer
75,Science,Beginner,Remote,PhD,Leader,Intuitive,Very High,Average,Moderate,High,Cybersecurity Analyst
76,Science,Beginner,Remote,PhD,Doer,Analytical,Very High,Excellent,Strong,Low,Data Engineer
77,Business,,Flexible,High School,Leader,Creative,Very High,Excellent,Strong,Exceptional,Data Scientist
78,Business,,Solo,PhD,Thinker,Analytical,Very High,Average,Strong,Medium,Full Stack Developer
79,Technology,Intermediate,Flexible,Masters,Thinker,Analytical,Medium,Fluent,Strong,Exceptional,Solutions Architect
80,Technology,Advanced,Solo,Masters,Leader,Practical,Medium,Excellent,Collaborative,Exceptional,Cloud Architect
81,Technology,Intermediate,Flexible,Diploma,Leader,Practical,,Excellent,,Exceptional,Product Manager
82,Technology,,Team,Diploma,Extrovert,Practical,Low,Excellent,Moderate,High,Robotics Engineer
83,Business,Intermediate,Office,Masters,Thinker,Analytical,Very High,Excellent,Strong,Exceptional,Solutions Architect
84,Technology,Advanced,Office,Masters,Thinker,Analytical,High,Fluent,Strong,Low,Cybersecurity Analyst
85,Science,Expert,Solo,Diploma,Introvert,Analytical,Medium,Outstanding,Collaborative,High,Virtual Reality Developer
86,Business,,Remote,Bachelors,Thinker,Logical,High,Poor,Moderate,Exceptional,Financial Analyst
87,Business,Advanced,Remote,PhD,Extrovert,Logical,High,Fluent,Collaborative,Exceptional,Data Analyst
88,Science,Expert,Team,PhD,Leader,Creative,Low,Excellent,,Low,Computer Vision Engineer
89,Business,Advanced,Office,PhD,Doer,Creative,,Excellent,Visionary,Medium,Mobile App Developer
90,Art,Advanced,Office,PhD,Doer,Logical,Very High,Excellent,Strong,Very High,Deep Learning Engineer
91,Science,,Solo,Diploma,Extrovert,Intuitive,High,Excellent,Strong,Exceptional,Software Engineer
92,Technology,Beginner,Office,Bachelors,Introvert,Intuitive,High,Excellent,,Exceptional,Data Analyst
93,Art,Expert,Office,Diploma,Leader,Analytical,,Average,Visionary,Low,Virtual Reality Developer
94,Technology,,Remote,Masters,Introvert,Logical,High,Excellent,,Medium,Network Engineer
95,Medicine,Advanced,Flexible,Diploma,Introvert,Creative,,Poor,Visionary,Exceptional,Virtual Reality Developer
96,Science,Beginner,Flexible,Bachelors,Doer,Intuitive,Medium,Poor,Visionary,Medium,Research Scientist
97,Art,Intermediate,Team,Diploma,Doer,Logical,Low,Excellent,Collaborative,Very High,Research Scientist
98,Business,Advanced,Team,Masters,Introvert,Creative,,Excellent,Moderate,Low,Mobile App Developer
99,Science,Intermediate,Solo,High School,Introvert,Analytical,,Average,Moderate,Exceptional,UI/UX Designer
100,Medicine,Advanced,Flexible,Masters,Leader,Logical,,Average,,Exceptional,Augmented Reality Developer
101,Medicine,Beginner,Remote,Masters,Doer,Analytical,Medium,Average,Moderate,Very High,AI Ethics Researcher
102,Technology,Intermediate,Office,Diploma,Leader,Analytical,Medium,Average,,High,DevOps Engineer
103,Art,Expert,Flexible,Bachelors,Extrovert,Practical,Low,Poor,,Medium,IoT Specialist
104,Art,Beginner,Remote,PhD,Introvert,Analytical,High,Excellent,Strong,Exceptional,Solutions Architect
105,Art,Intermediate,Solo,Bachelors,Extrovert,Analytical,Medium,Fluent,Visionary,Medium,Embedded Systems Engineer
106,Science,Expert,Flexible,PhD,Introvert,Creative,Very High,Poor,Visionary,Very High,Deep Learning Engineer
107,Technology,Intermediate,Remote,Diploma,Doer,Practical,High,Excellent,Collaborative,Low,System Architect
108,Medicine,Advanced,Team,PhD,Introvert,Practical,,Excellent,Strong,Very High,Robotics Engineer
109,Technology,Intermediate,Solo,PhD,Thinker,Creative,,Average,Strong,Very High,AI Ethics Researcher
110,Medicine,Intermediate,Solo,Masters,Thinker,Intuitive,High,Excellent,Visionary,Low,Game Developer
111,Medicine,Intermediate,Remote,High School,Thinker,Creative,Medium,Outstanding,Collaborative,High,Software Engineer
112,Business,,Remote,High School,Leader,Logical,Low,Poor,Collaborative,Medium,Financial Analyst
113,Art,Beginner,Remote,Diploma,Extrovert,Logical,Very High,Outstanding,Collaborative,Medium,UI/UX Designer
114,Medicine,Advanced,Remote,Diploma,Leader,Logical,,Excellent,Visionary,High,Web Developer
115,Technology,,Solo,Bachelors,Introvert,Analytical,,Poor,Visionary,High,Augmented Reality Developer
116,Art,,Team,Masters,Introvert,Practical,High,Average,Visionary,Medium,Cloud Architect
117,Medicine,Advanced,Remote,Masters,Leader,Creative,Medium,Average,Visionary,Low,Blockchain Developer
118,Technology,Expert,Office,PhD,Extrovert,Intuitive,Very High,Average,Moderate,Very High,Game Developer
119,Business,Expert,Team,PhD,Introvert,Intuitive,,Poor,,Exceptional,DevOps Engineer
120,Science,,Office,Bachelors,Doer,Creative,Low,Fluent,,Medium,Robotics Engineer
121,Business,,Team,Diploma,Extrovert,Intuitive,Very High,Poor,Visionary,Very High,Financial Analyst
122,Business,Intermediate,Team,High School,Doer,Practical,,Poor,Moderate,Low,Virtual Reality Developer
123,Technology,Intermediate,Solo,Diploma,Extrovert,Practical,,Excellent,Strong,Low,Data Scientist
124,Technology,Intermediate,Office,Masters,Extrovert,Logical,High,Outstanding,Collaborative,Very High,Cloud Architect
125,Technology,Expert,Flexible,High School,Extrovert,Creative,High,Excellent,Collaborative,Very High,Speech Recognition Specialist
126,Science,Intermediate,Team,High School,Thinker,Creative,Very High,Average,Moderate,High,Data Analyst
127,Medicine,Expert,Remote,High School,Extrovert,Creative,High,Outstanding,Moderate,High,UI/UX Designer
128,Science,Intermediate,Team,High School,Thinker,Logical,High,Average,Strong,Medium,Cloud Architect
129,Science,Advanced,Office,Masters,Thinker,Logical,,Outstanding,Moderate,Low,Data Scientist
130,Technology,Advanced,Team,Diploma,Leader,Analytical,Medium,Poor,,Exceptional,Bioinformatics Scientist
131,Medicine,Expert,Remote,Diploma,Doer,Intuitive,Very High,Excellent,Collaborative,Very High,NLP Engineer
132,Technology,Expert,Team,High School,Thinker,Creative,High,Fluent,Moderate,Exceptional,Site Reliability Engineer
133,Medicine,Beginner,Flexible,PhD,Thinker,Creative,Medium,Average,Visionary,High,Financial Analyst
134,Art,Intermediate,Team,Diploma,Introvert,Creative,,Fluent,Visionary,Medium,Embedded Systems Engineer
135,Science,,Flexible,Masters,Leader,Analytical,Low,Outstanding,,Exceptional,Full Stack Developer
136,Business,Expert,Office,High School,Extrovert,Intuitive,Very High,Poor,,High,UI/UX Designer
137,Medicine,Expert,Flexible,Bachelors,Extrovert,Analytical,High,Excellent,Collaborative,Medium,Product Manager
138,Business,Intermediate,Solo,Diploma,Leader,Practical,Medium,Fluent,Strong,Exceptional,Technical Writer
139,Art,,Flexible,Masters,Leader,Logical,Low,Poor,Collaborative,Exceptional,Hardware Engineer
140,Science,Expert,Team,Masters,Introvert,Practical,,Average,,Exceptional,Business Analyst
141,Business,,Team,Diploma,Doer,Practical,Low,Excellent,Visionary,Low,AI Ethics Researcher
142,Technology,Expert,Office,Diploma,Extrovert,Analytical,Very High,Fluent,Strong,Medium,Site Reliability Engineer
143,Business,Advanced,Office,High School,Doer,Intuitive,Medium,Poor,Collaborative,Very High,Automation Engineer
144,Technology,Advanced,Flexible,High School,Leader,Logical,High,Fluent,Collaborative,Very High,Full Stack Developer
145,Business,,Office,PhD,Leader,Creative,Low,Fluent,Moderate,Medium,Product Manager
146,Science,Intermediate,Solo,Masters,Extrovert,Intuitive,High,Poor,,Exceptional,Full Stack Developer
147,Technology,,Team,Diploma,Doer,Creative,Medium,Poor,Visionary,High,Solutions Architect
148,Business,Expert,Flexible,PhD,Extrovert,Intuitive,Medium,Excellent,Collaborative,Low,Cloud Architect
149,Technology,Advanced,Solo,Masters,Doer,Intuitive,Medium,Poor,Strong,Low,Network Engineer
150,Business,Beginner,Team,Diploma,Doer,Intuitive,Low,Outstanding,Strong,Low,Automation Engineer
151,Art,Beginner,Office,PhD,Thinker,Logical,Medium,Excellent,Collaborative,Exceptional,Business Analyst
152,Technology,Expert,Remote,Masters,Extrovert,Analytical,Very High,Average,Moderate,Exceptional,Data Analyst
153,Art,Expert,Solo,High School,Thinker,Practical,Low,Poor,Visionary,High,Robotics Engineer
154,Business,Advanced,Office,Diploma,Leader,Practical,Low,Poor,,Low,Game Developer
155,Art,Advanced,Remote,PhD,Thinker,Creative,Medium,Poor,,Medium,Site Reliability Engineer
156,Medicine,Advanced,Solo,High School,Introvert,Logical,Medium,Fluent,,Low,Robotics Engineer
157,Medicine,Advanced,Office,PhD,Thinker,Intuitive,,Poor,,Very High,QA Engineer
158,Science,Intermediate,Remote,Diploma,Leader,Practical,,Outstanding,,Medium,DevOps Engineer
159,Science,Expert,Remote,PhD,Introvert,Analytical,Low,Fluent,Visionary,Medium,Speech Recognition Specialist
160,Science,Advanced,Flexible,Bachelors,Introvert,Practical,Very High,Outstanding,Visionary,Low,Data Engineer
161,Business,,Solo,Diploma,Doer,Analytical,Medium,Poor,,Exceptional,Product Manager
162,Technology,Intermediate,Team,Masters,Extrovert,Intuitive,,Poor,Strong,High,Hardware Engineer
163,Technology,Intermediate,Solo,Masters,Leader,Logical,,Fluent,Strong,Exceptional,Hardware Engineer
164,Science,Expert,Team,Masters,Extrovert,Intuitive,Medium,Excellent,Strong,Very High,QA Engineer
165,Medicine,Beginner,Team,PhD,Extrovert,Logical,Very High,Fluent,Visionary,Very High,Algorithm Engineer
166,Technology,Advanced,Team,Bachelors,Extrovert,Creative,,Poor,Visionary,Low,Technical Writer
167,Science,Beginner,Team,PhD,Extrovert,Practical,,Excellent,Visionary,Medium,Technical Writer
168,Business,Expert,Office,PhD,Doer,Practical,High,Average,,Very High,Software Engineer
169,Technology,Advanced,Remote,Bachelors,Doer,Logical,,Excellent,Collaborative,High,Data Engineer
170,Medicine,Advanced,Solo,Bachelors,Extrovert,Analytical,Low,Average,Collaborative,Very High,Product Manager
171,Business,Advanced,Office,High School,Introvert,Intuitive,Low,Average,Moderate,Very High,Cybersecurity Analyst
172,Technology,Advanced,Office,Diploma,Thinker,Practical,,Poor,,Exceptional,Game Developer
173,Technology,Intermediate,Solo,High School,Doer,Analytical,,Excellent,Strong,Exceptional,Game Developer
174,Business,Beginner,Flexible,Bachelors,Thinker,Intuitive,High,Poor,Strong,Medium,AI Researcher
175,Science,Expert,Team,Masters,Leader,Practical,,Poor,,Exceptional,AI Researcher
176,Science,Intermediate,Remote,PhD,Extrovert,Practical,Medium,Fluent,Moderate,Low,Game Developer
177,Science,Beginner,Team,Masters,Thinker,Practical,,Fluent,Visionary,Low,IoT Specialist
178,Technology,Expert,Remote,Bachelors,Leader,Creative,Medium,Poor,,High,Automation Engineer
179,Medicine,Beginner,Solo,Bachelors,Thinker,Creative,High,Poor,Visionary,Low,Solutions Architect
180,Art,Expert,Flexible,High School,Leader,Practical,Low,Fluent,Collaborative,Medium,Algorithm Engineer
181,Science,Beginner,Office,Masters,Doer,Practical,Low,Excellent,Visionary,Medium,Augmented Reality Developer
182,Art,,Solo,Bachelors,Leader,Practical,Medium,Fluent,Visionary,Medium,AI Researcher
183,Medicine,Intermediate,Flexible,Masters,Leader,Analytical,Low,Fluent,,High,Site Reliability Engineer
184,Science,,Flexible,Masters,Extrovert,Intuitive,Medium,Poor,Strong,Medium,Data Engineer
185,Technology,Advanced,Team,High School,Leader,Intuitive,Medium,Average,,High,Research Scientist
186,Science,Beginner,Team,Bachelors,Leader,Logical,Low,Poor,Visionary,Very High,ML Engineer
187,Art,Intermediate,Flexible,Bachelors,Thinker,Practical,Very High,Average,Collaborative,Medium,Data Analyst
188,Business,Advanced,Solo,Bachelors,Thinker,Analytical,Medium,Poor,,High,Data Scientist
189,Business,Intermediate,Team,Masters,Extrovert,Intuitive,Very High,Fluent,Collaborative,Low,System Architect
190,Business,Advanced,Remote,High School,Thinker,Practical,Low,Outstanding,,Very High,DevOps Engineer
191,Business,Intermediate,Team,PhD,Introvert,Practical,High,Fluent,Strong,High,Product Manager
192,Art,Advanced,Remote,High School,Doer,Analytical,,Average,,Exceptional,QA Engineer
193,Art,Expert,Remote,Diploma,Doer,Practical,High,Fluent,Moderate,High,Augmented Reality Developer
194,Medicine,,Office,Bachelors,Thinker,Logical,Very High,Poor,Visionary,Medium,IoT Specialist
195,Business,,Team,PhD,Extrovert,Analytical,Low,Outstanding,Visionary,High,AI Ethics Researcher
196,Business,Intermediate,Flexible,PhD,Introvert,Practical,,Excellent,Collaborative,High,Research Scientist
197,Science,,Team,Diploma,Introvert,Logical,Medium,Excellent,Moderate,Low,Product Manager
198,Medicine,Advanced,Team,Masters,Introvert,Logical,,Excellent,,High,Speech Recognition Specialist
199,Medicine,Beginner,Team,Masters,Doer,Practical,High,Average,Moderate,Low,Blockchain Developer
200,Art,,Solo,Masters,Leader,Logical,High,Outstanding,Strong,High,Deep Learning Engineer
201,Science,,Team,High School,Introvert,Intuitive,High,Average,Collaborative,High,DevOps Engineer
202,Business,Expert,Solo,Bachelors,Thinker,Practical,High,Excellent,,Very High,Cybersecurity Analyst
203,Medicine,Beginner,Remote,PhD,Introvert,Logical,Very High,Poor,Strong,Medium,Automation Engineer
204,Business,Intermediate,Remote,Masters,Introvert,Intuitive,Very High,Fluent,Moderate,Exceptional,Mobile App Developer
205,Business,Beginner,Flexible,Diploma,Introvert,Creative,,Poor,Moderate,Exceptional,Data Engineer
206,Technology,Advanced,Remote,High School,Extrovert,Practical,High,Excellent,Strong,Medium,UI/UX Designer
207,Technology,Beginner,Flexible,Diploma,Introvert,Practical,Medium,Excellent,Collaborative,Very High,Financial Analyst
208,Medicine,Intermediate,Flexible,Diploma,Thinker,Analytical,Very High,Poor,Visionary,Very High,Mobile App Developer
209,Technology,Beginner,Solo,Masters,Leader,Intuitive,High,Excellent,Collaborative,High,Mobile App Developer
210,Technology,,Office,Masters,Doer,Creative,High,Poor,Moderate,Low,System Architect
211,Medicine,Advanced,Team,Bachelors,Introvert,Practical,Low,Excellent,,Exceptional,Web Developer
212,Science,Intermediate,Remote,High School,Doer,Analytical,Medium,Outstanding,Visionary,Medium,Hardware Engineer
213,Business,Beginner,Solo,Diploma,Introvert,Analytical,High,Fluent,Moderate,Low,Automation Engineer
214,Medicine,,Flexible,PhD,Extrovert,Analytical,,Excellent,Moderate,High,NLP Engineer
215,Art,Advanced,Team,High School,Thinker,Analytical,Medium,Excellent,Collaborative,High,Virtual Reality Developer
216,Technology,Intermediate,Flexible,Diploma,Thinker,Intuitive,High,Outstanding,Collaborative,Very High,Site Reliability Engineer
217,Business,Intermediate,Office,High School,Leader,Practical,High,Fluent,Strong,Exceptional,Research Scientist
218,Science,Advanced,Remote,Masters,Leader,Analytical,High,Excellent,Collaborative,Exceptional,Robotics Engineer
219,Science,Beginner,Flexible,Bachelors,Leader,Practical,High,Poor,Strong,High,Research Scientist
220,Science,Beginner,Remote,Masters,Extrovert,Practical,Medium,Excellent,,Low,Data Engineer
221,Medicine,Expert,Remote,High School,Introvert,Practical,Low,Poor,Strong,High,Automation Engineer
222,Business,,Remote,High School,Doer,Creative,Low,Poor,,Low,Augmented Reality Developer
223,Art,,Flexible,High School,Extrovert,Practical,Very High,Poor,Strong,Low,Software Engineer
224,Business,,Team,Masters,Thinker,Intuitive,Low,Excellent,Collaborative,Exceptional,Research Scientist
225,Science,,Remote,Diploma,Introvert,Creative,Low,Outstanding,Moderate,Medium,Algorithm Engineer
226,Medicine,Expert,Office,PhD,Introvert,Analytical,Medium,Poor,Moderate,High,Game Developer
227,Science,Advanced,Team,High School,Introvert,Intuitive,High,Excellent,Visionary,Medium,Technical Writer
228,Art,Expert,Team,High School,Leader,Analytical,Medium,Excellent,Strong,Medium,DevOps Engineer
229,Science,Intermediate,Team,Diploma,Doer,Creative,High,Average,Visionary,Medium,Deep Learning Engineer
230,Art,,Flexible,Masters,Introvert,Practical,Low,Average,Strong,High,ML Engineer
231,Medicine,Advanced,Team,Bachelors,Thinker,Intuitive,Medium,Outstanding,Moderate,Exceptional,Speech Recognition Specialist
232,Medicine,Beginner,Office,PhD,Introvert,Intuitive,Low,Average,Collaborative,Low,ML Engineer
233,Technology,Advanced,Remote,Bachelors,Introvert,Creative,Very High,Outstanding,,Medium,Product Manager
234,Medicine,Expert,Solo,Bachelors,Introvert,Practical,Medium,Average,Collaborative,Low,Product Manager
235,Medicine,,Office,PhD,Doer,Logical,Medium,Outstanding,Strong,Medium,Virtual Reality Developer
236,Medicine,Beginner,Team,High School,Extrovert,Practical,,Outstanding,Visionary,Very High,Cloud Architect
237,Business,Expert,Team,PhD,Extrovert,Analytical,Low,Average,Collaborative,Exceptional,System Architect
238,Science,,Remote,High School,Extrovert,Logical,Medium,Average,Strong,Low,Data Scientist
239,Science,,Flexible,Masters,Doer,Logical,High,Average,Strong,Exceptional,Speech Recognition Specialist
240,Science,Expert,Flexible,PhD,Extrovert,Logical,Low,Poor,Moderate,Exceptional,UI/UX Designer
241,Technology,Advanced,Team,High School,Introvert,Creative,Low,Fluent,Collaborative,Very High,NLP Engineer
242,Business,,Office,Masters,Extrovert,Logical,Very High,Poor,Strong,Exceptional,Virtual Reality Developer
243,Art,Expert,Office,PhD,Leader,Intuitive,Very High,Fluent,Collaborative,Low,Embedded Systems Engineer
244,Business,,Flexible,Masters,Doer,Practical,Low,Fluent,Moderate,High,NLP Engineer
245,Art,Intermediate,Solo,Diploma,Thinker,Logical,,Outstanding,Strong,Low,QA Engineer
246,Medicine,Expert,Flexible,Masters,Doer,Logical,,Excellent,Visionary,Medium,Hardware Engineer
247,Technology,Intermediate,Office,PhD,Introvert,Practical,Low,Poor,Moderate,Low,Mobile App Developer
248,Medicine,Intermediate,Solo,Bachelors,Thinker,Creative,Medium,Average,Strong,Medium,Product Manager
249,Business,Advanced,Solo,PhD,Extrovert,Creative,Very High,Fluent,,Medium,Cloud Architect
250,Art,Beginner,Team,Masters,Introvert,Intuitive,High,Excellent,Strong,High,Solutions Architect
251,Science,Advanced,Office,Bachelors,Extrovert,Creative,Very High,Outstanding,Moderate,Exceptional,Game Developer
252,Business,,Remote,Masters,Thinker,Creative,High,Poor,Visionary,Exceptional,NLP Engineer
253,Science,Expert,Remote,Masters,Leader,Logical,High,Excellent,Collaborative,Medium,NLP Engineer
254,Medicine,Beginner,Remote,Bachelors,Leader,Analytical,Very High,Poor,Collaborative,Medium,Research Scientist
255,Medicine,Intermediate,Team,Bachelors,Doer,Practical,High,Excellent,Collaborative,Exceptional,AI Researcher
256,Technology,Intermediate,Flexible,Bachelors,Leader,Logical,Medium,Outstanding,Collaborative,Exceptional,Bioinformatics Scientist
257,Medicine,Expert,Flexible,Diploma,Leader,Logical,,Poor,Moderate,Exceptional,Data Engineer
258,Medicine,Intermediate,Office,High School,Thinker,Logical,Very High,Fluent,Visionary,High,Embedded Systems Engineer
259,Art,Beginner,Office,Diploma,Leader,Creative,Low,Fluent,,Medium,Cybersecurity Analyst
260,Art,Beginner,Team,Masters,Leader,Analytical,Very High,Excellent,Strong,Medium,AI Ethics Researcher
261,Technology,Intermediate,Office,Masters,Introvert,Analytical,High,Average,Collaborative,Very High,Data Analyst
262,Medicine,,Remote,Diploma,Doer,Intuitive,Low,Average,,High,UI/UX Designer
263,Science,Intermediate,Office,High School,Thinker,Intuitive,High,Poor,,Low,NLP Engineer
264,Business,Beginner,Flexible,High School,Thinker,Practical,High,Poor,Strong,High,Technical Writer
265,Art,Intermediate,Solo,Diploma,Doer,Logical,High,Poor,Strong,Very High,Web Developer
266,Technology,Advanced,Office,PhD,Thinker,Creative,Low,Excellent,Moderate,High,Algorithm Engineer
267,Medicine,Advanced,Office,Bachelors,Introvert,Creative,Medium,Average,Moderate,High,Data Engineer
268,Medicine,Advanced,Team,Diploma,Doer,Creative,High,Fluent,Collaborative,Low,Data Analyst
269,Technology,Intermediate,Remote,Masters,Thinker,Analytical,Very High,Excellent,Moderate,Exceptional,Computer Vision Engineer
270,Art,,Team,Diploma,Leader,Analytical,Low,Average,Visionary,Very High,Data Engineer
