Interest,Skill_Level,Work_Style,Education,Personality,Problem_Solving,Tech,Communication,Leadership,Creativity,Career
Science,None,Solo,PhD,Extrovert,Intuitive,Medium,Average,None,High,Marketing Manager
Science,Intermediate,Team,High School,Leader,Practical,High,Excellent,Strong,Low,Data Scientist
Business,Expert,Remote,Bachelors,Thinker,Intuitive,High,Excellent,Moderate,Exceptional,Software Engineer
Business,None,Flexible,PhD,Extrovert,Practical,Low,Outstanding,Moderate,Medium,Doctor
Art,Beginner,Team,PhD,Doer,Practical,Medium,Outstanding,Collaborative,Exceptional,Software Engineer
Science,Expert,Flexible,Diploma,Doer,Practical,Low,Excellent,Strong,Medium,Graphic Designer
Technology,Advanced,Team,Masters,Introvert,Analytical,High,Outstanding,Strong,Exceptional,Software Engineer
Business,Beginner,Flexible,Diploma,Leader,Logical,None,Outstanding,Visionary,Low,Graphic Designer
Medicine,Beginner,Team,Masters,Thinker,Analytical,Medium,Excellent,Collaborative,Medium,Doctor
Medicine,Advanced,Team,Masters,Thinker,Practical,None,Poor,Collaborative,Very High,Graphic Designer
Business,None,Team,Bachelors,Introvert,Analytical,Very High,Excellent,Visionary,Exceptional,Marketing Manager
Business,Advanced,Team,Bachelors,Extrovert,Practical,Medium,Average,Collaborative,Exceptional,Graphic Designer
Technology,Advanced,Flexible,Masters,Thinker,Creative,None,Fluent,Strong,Medium,Data Scientist
Technology,Advanced,Solo,High School,Introvert,Intuitive,High,Fluent,Collaborative,Low,Doctor
Medicine,Expert,Remote,PhD,Introvert,Practical,Medium,Average,Collaborative,High,Graphic Designer
Technology,None,Office,Bachelors,Thinker,Practical,High,Poor,Moderate,Low,Software Engineer
Medicine,Intermediate,Solo,Masters,Thinker,Analytical,Medium,Average,Strong,Medium,Data Scientist
Science,Intermediate,Team,Masters,Extrovert,Intuitive,None,Outstanding,Visionary,Very High,Software Engineer
Medicine,Intermediate,Flexible,Diploma,Introvert,Analytical,Very High,Poor,None,Medium,Data Scientist
Art,None,Office,Diploma,Leader,Logical,None,Excellent,Strong,Exceptional,Graphic Designer
Science,Advanced,Flexible,Masters,Thinker,Intuitive,None,Fluent,Moderate,Low,Data Scientist
Science,Intermediate,Remote,Diploma,Leader,Practical,Very High,Fluent,Collaborative,Low,Doctor
Art,Advanced,Flexible,High School,Extrovert,Practical,High,Excellent,Visionary,Very High,Doctor
Science,Expert,Team,High School,Thinker,Intuitive,Low,Poor,Visionary,Exceptional,Data Scientist
Medicine,Advanced,Flexible,Masters,Introvert,Practical,Very High,Outstanding,None,High,Doctor
Business,Expert,Office,Bachelors,Thinker,Logical,Low,Poor,Strong,Medium,Software Engineer
Technology,Expert,Team,High School,Leader,Intuitive,Medium,Excellent,Strong,Medium,Data Scientist
Technology,Advanced,Office,Masters,Leader,Intuitive,Medium,Poor,Visionary,High,Graphic Designer
Technology,Advanced,Office,Masters,Introvert,Intuitive,High,Poor,Collaborative,Very High,Doctor
Art,Beginner,Team,PhD,Thinker,Logical,Low,Fluent,Visionary,Medium,Software Engineer
Art,Advanced,Office,Masters,Leader,Creative,Low,Average,Strong,Medium,Graphic Designer
Technology,None,Solo,Diploma,Introvert,Intuitive,Low,Poor,None,Very High,Graphic Designer
Technology,Expert,Team,Masters,Thinker,Analytical,Medium,Average,None,High,Doctor
Science,Advanced,Flexible,Masters,Leader,Practical,Very High,Poor,Strong,Very High,Data Scientist
Art,Beginner,Team,Masters,Thinker,Creative,Very High,Average,Collaborative,Low,Software Engineer
Art,Intermediate,Flexible,PhD,Thinker,Intuitive,Medium,Outstanding,None,Medium,Doctor
Medicine,Expert,Team,Bachelors,Leader,Logical,None,Fluent,None,Exceptional,Doctor
Art,None,Team,Masters,Doer,Creative,Very High,Poor,Collaborative,Exceptional,Doctor
Technology,Expert,Remote,Masters,Thinker,Creative,None,Fluent,Visionary,Very High,Graphic Designer
Art,None,Solo,PhD,Extrovert,Creative,Medium,Fluent,Moderate,Very High,Data Scientist
Science,Intermediate,Solo,High School,Thinker,Logical,Low,Average,Collaborative,Very High,Graphic Designer
Science,Beginner,Flexible,PhD,Introvert,Creative,None,Poor,Moderate,High,Software Engineer
Science,Beginner,Team,High School,Leader,Practical,Very High,Average,Visionary,High,Graphic Designer
Medicine,Expert,Office,Masters,Thinker,Practical,Medium,Poor,Visionary,Low,Graphic Designer
Medicine,Beginner,Office,High School,Doer,Analytical,High,Poor,None,Low,Graphic Designer
Science,Beginner,Remote,PhD,Leader,Intuitive,Very High,Average,Moderate,High,Software Engineer
Science,Beginner,Remote,PhD,Doer,Analytical,Very High,Excellent,Strong,Low,Data Scientist
Business,None,Flexible,High School,Leader,Creative,Very High,Excellent,Strong,Exceptional,Graphic Designer
Business,None,Solo,PhD,Thinker,Analytical,Very High,Average,Strong,Medium,Software Engineer
Technology,Intermediate,Flexible,Masters,Thinker,Analytical,Medium,Fluent,Strong,Exceptional,Software Engineer
Technology,Advanced,Solo,Masters,Leader,Practical,Medium,Excellent,Collaborative,Exceptional,Data Scientist
Technology,Intermediate,Flexible,Diploma,Leader,Practical,None,Excellent,None,Exceptional,Graphic Designer
Technology,None,Team,Diploma,Extrovert,Practical,Low,Excellent,Moderate,High,Marketing Manager
Business,Intermediate,Office,Masters,Thinker,Analytical,Very High,Excellent,Strong,Exceptional,Data Scientist
Technology,Advanced,Office,Masters,Thinker,Analytical,High,Fluent,Strong,Low,Marketing Manager
Science,Expert,Solo,Diploma,Introvert,Analytical,Medium,Outstanding,Collaborative,High,Data Scientist
Business,None,Remote,Bachelors,Thinker,Logical,High,Poor,Moderate,Exceptional,Marketing Manager
Business,Advanced,Remote,PhD,Extrovert,Logical,High,Fluent,Collaborative,Exceptional,Doctor
Science,Expert,Team,PhD,Leader,Creative,Low,Excellent,None,Low,Marketing Manager
Business,Advanced,Office,PhD,Doer,Creative,None,Excellent,Visionary,Medium,Doctor
Art,Advanced,Office,PhD,Doer,Logical,Very High,Excellent,Strong,Very High,Software Engineer
Science,None,Solo,Diploma,Extrovert,Intuitive,High,Excellent,Strong,Exceptional,Data Scientist
Technology,Beginner,Office,Bachelors,Introvert,Intuitive,High,Excellent,None,Exceptional,Marketing Manager
Art,Expert,Office,Diploma,Leader,Analytical,None,Average,Visionary,Low,Doctor
Technology,None,Remote,Masters,Introvert,Logical,High,Excellent,None,Medium,Software Engineer
Medicine,Advanced,Flexible,Diploma,Introvert,Creative,None,Poor,Visionary,Exceptional,Doctor
Science,Beginner,Flexible,Bachelors,Doer,Intuitive,Medium,Poor,Visionary,Medium,Marketing Manager
Art,Intermediate,Team,Diploma,Doer,Logical,Low,Excellent,Collaborative,Very High,Doctor
Business,Advanced,Team,Masters,Introvert,Creative,None,Excellent,Moderate,Low,Data Scientist
Science,Intermediate,Solo,High School,Introvert,Analytical,None,Average,Moderate,Exceptional,Graphic Designer
Medicine,Advanced,Flexible,Masters,Leader,Logical,None,Average,None,Exceptional,Software Engineer
Medicine,Beginner,Remote,Masters,Doer,Analytical,Medium,Average,Moderate,Very High,Data Scientist
Technology,Intermediate,Office,Diploma,Leader,Analytical,Medium,Average,None,High,Data Scientist
Art,Expert,Flexible,Bachelors,Extrovert,Practical,Low,Poor,None,Medium,Graphic Designer
Art,Beginner,Remote,PhD,Introvert,Analytical,High,Excellent,Strong,Exceptional,Doctor
Art,Intermediate,Solo,Bachelors,Extrovert,Analytical,Medium,Fluent,Visionary,Medium,Doctor
Science,Expert,Flexible,PhD,Introvert,Creative,Very High,Poor,Visionary,Very High,Doctor
Technology,Intermediate,Remote,Diploma,Doer,Practical,High,Excellent,Collaborative,Low,Software Engineer
Medicine,Advanced,Team,PhD,Introvert,Practical,None,Excellent,Strong,Very High,Graphic Designer
Technology,Intermediate,Solo,PhD,Thinker,Creative,None,Average,Strong,Very High,Data Scientist
Medicine,Intermediate,Solo,Masters,Thinker,Intuitive,High,Excellent,Visionary,Low,Data Scientist
Medicine,Intermediate,Remote,High School,Thinker,Creative,Medium,Outstanding,Collaborative,High,Software Engineer
Business,None,Remote,High School,Leader,Logical,Low,Poor,Collaborative,Medium,Graphic Designer
Art,Beginner,Remote,Diploma,Extrovert,Logical,Very High,Outstanding,Collaborative,Medium,Data Scientist
Medicine,Advanced,Remote,Diploma,Leader,Logical,None,Excellent,Visionary,High,Marketing Manager
Technology,None,Solo,Bachelors,Introvert,Analytical,None,Poor,Visionary,High,Data Scientist
Art,None,Team,Masters,Introvert,Practical,High,Average,Visionary,Medium,Graphic Designer
Medicine,Advanced,Remote,Masters,Leader,Creative,Medium,Average,Visionary,Low,Doctor
Technology,Expert,Office,PhD,Extrovert,Intuitive,Very High,Average,Moderate,Very High,Marketing Manager
Business,Expert,Team,PhD,Introvert,Intuitive,None,Poor,None,Exceptional,Software Engineer
Science,None,Office,Bachelors,Doer,Creative,Low,Fluent,None,Medium,Software Engineer
Business,None,Team,Diploma,Extrovert,Intuitive,Very High,Poor,Visionary,Very High,Software Engineer
Business,Intermediate,Team,High School,Doer,Practical,None,Poor,Moderate,Low,Data Scientist
Technology,Intermediate,Solo,Diploma,Extrovert,Practical,None,Excellent,Strong,Low,Doctor
Technology,Intermediate,Office,Masters,Extrovert,Logical,High,Outstanding,Collaborative,Very High,Marketing Manager
Technology,Expert,Flexible,High School,Extrovert,Creative,High,Excellent,Collaborative,Very High,Software Engineer
Science,Intermediate,Team,High School,Thinker,Creative,Very High,Average,Moderate,High,Graphic Designer
Medicine,Expert,Remote,High School,Extrovert,Creative,High,Outstanding,Moderate,High,Software Engineer
Science,Intermediate,Team,High School,Thinker,Logical,High,Average,Strong,Medium,Doctor
Science,Advanced,Office,Masters,Thinker,Logical,None,Outstanding,Moderate,Low,Software Engineer
Technology,Advanced,Team,Diploma,Leader,Analytical,Medium,Poor,None,Exceptional,Marketing Manager
Medicine,Expert,Remote,Diploma,Doer,Intuitive,Very High,Excellent,Collaborative,Very High,Doctor
Technology,Expert,Team,High School,Thinker,Creative,High,Fluent,Moderate,Exceptional,Marketing Manager
Medicine,Beginner,Flexible,PhD,Thinker,Creative,Medium,Average,Visionary,High,Graphic Designer
Art,Intermediate,Team,Diploma,Introvert,Creative,None,Fluent,Visionary,Medium,Software Engineer
Science,None,Flexible,Masters,Leader,Analytical,Low,Outstanding,None,Exceptional,Doctor
Business,Expert,Office,High School,Extrovert,Intuitive,Very High,Poor,None,High,Software Engineer
Medicine,Expert,Flexible,Bachelors,Extrovert,Analytical,High,Excellent,Collaborative,Medium,Data Scientist
Business,Intermediate,Solo,Diploma,Leader,Practical,Medium,Fluent,Strong,Exceptional,Marketing Manager
Art,None,Flexible,Masters,Leader,Logical,Low,Poor,Collaborative,Exceptional,Graphic Designer
Science,Expert,Team,Masters,Introvert,Practical,None,Average,None,Exceptional,Graphic Designer
Business,None,Team,Diploma,Doer,Practical,Low,Excellent,Visionary,Low,Data Scientist
Technology,Expert,Office,Diploma,Extrovert,Analytical,Very High,Fluent,Strong,Medium,Marketing Manager
Business,Advanced,Office,High School,Doer,Intuitive,Medium,Poor,Collaborative,Very High,Software Engineer
Technology,Advanced,Flexible,High School,Leader,Logical,High,Fluent,Collaborative,Very High,Doctor
Business,None,Office,PhD,Leader,Creative,Low,Fluent,Moderate,Medium,Data Scientist
Science,Intermediate,Solo,Masters,Extrovert,Intuitive,High,Poor,None,Exceptional,Doctor
Technology,None,Team,Diploma,Doer,Creative,Medium,Poor,Visionary,High,Doctor
Business,Expert,Flexible,PhD,Extrovert,Intuitive,Medium,Excellent,Collaborative,Low,Software Engineer
Technology,Advanced,Solo,Masters,Doer,Intuitive,Medium,Poor,Strong,Low,Software Engineer
Business,Beginner,Team,Diploma,Doer,Intuitive,Low,Outstanding,Strong,Low,Doctor
Art,Beginner,Office,PhD,Thinker,Logical,Medium,Excellent,Collaborative,Exceptional,Data Scientist
Technology,Expert,Remote,Masters,Extrovert,Analytical,Very High,Average,Moderate,Exceptional,Marketing Manager
Art,Expert,Solo,High School,Thinker,Practical,Low,Poor,Visionary,High,Marketing Manager
Business,Advanced,Office,Diploma,Leader,Practical,Low,Poor,None,Low,Marketing Manager
Art,Advanced,Remote,PhD,Thinker,Creative,Medium,Poor,None,Medium,Doctor
Medicine,Advanced,Solo,High School,Introvert,Logical,Medium,Fluent,None,Low,Software Engineer
Medicine,Advanced,Office,PhD,Thinker,Intuitive,None,Poor,None,Very High,Graphic Designer
Science,Intermediate,Remote,Diploma,Leader,Practical,None,Outstanding,None,Medium,Data Scientist
Science,Expert,Remote,PhD,Introvert,Analytical,Low,Fluent,Visionary,Medium,Doctor
Science,Advanced,Flexible,Bachelors,Introvert,Practical,Very High,Outstanding,Visionary,Low,Software Engineer
Business,None,Solo,Diploma,Doer,Analytical,Medium,Poor,None,Exceptional,Software Engineer
Technology,Intermediate,Team,Masters,Extrovert,Intuitive,None,Poor,Strong,High,Marketing Manager
Technology,Intermediate,Solo,Masters,Leader,Logical,None,Fluent,Strong,Exceptional,Software Engineer
Science,Expert,Team,Masters,Extrovert,Intuitive,Medium,Excellent,Strong,Very High,Graphic Designer
Medicine,Beginner,Team,PhD,Extrovert,Logical,Very High,Fluent,Visionary,Very High,Doctor
Technology,Advanced,Team,Bachelors,Extrovert,Creative,None,Poor,Visionary,Low,Software Engineer
Science,Beginner,Team,PhD,Extrovert,Practical,None,Excellent,Visionary,Medium,Software Engineer
Business,Expert,Office,PhD,Doer,Practical,High,Average,None,Very High,Software Engineer
Technology,Advanced,Remote,Bachelors,Doer,Logical,None,Excellent,Collaborative,High,Marketing Manager
Medicine,Advanced,Solo,Bachelors,Extrovert,Analytical,Low,Average,Collaborative,Very High,Doctor
Business,Advanced,Office,High School,Introvert,Intuitive,Low,Average,Moderate,Very High,Software Engineer
Technology,Advanced,Office,Diploma,Thinker,Practical,None,Poor,None,Exceptional,Marketing Manager
Technology,Intermediate,Solo,High School,Doer,Analytical,None,Excellent,Strong,Exceptional,Software Engineer
Business,Beginner,Flexible,Bachelors,Thinker,Intuitive,High,Poor,Strong,Medium,Graphic Designer
Science,Expert,Team,Masters,Leader,Practical,None,Poor,None,Exceptional,Software Engineer
Science,Intermediate,Remote,PhD,Extrovert,Practical,Medium,Fluent,Moderate,Low,Marketing Manager
Science,Beginner,Team,Masters,Thinker,Practical,None,Fluent,Visionary,Low,Marketing Manager
Technology,Expert,Remote,Bachelors,Leader,Creative,Medium,Poor,None,High,Marketing Manager
Medicine,Beginner,Solo,Bachelors,Thinker,Creative,High,Poor,Visionary,Low,Software Engineer
Art,Expert,Flexible,High School,Leader,Practical,Low,Fluent,Collaborative,Medium,Graphic Designer
Science,Beginner,Office,Masters,Doer,Practical,Low,Excellent,Visionary,Medium,Software Engineer
Art,None,Solo,Bachelors,Leader,Practical,Medium,Fluent,Visionary,Medium,Software Engineer
Medicine,Intermediate,Flexible,Masters,Leader,Analytical,Low,Fluent,None,High,Data Scientist
Science,None,Flexible,Masters,Extrovert,Intuitive,Medium,Poor,Strong,Medium,Graphic Designer
Technology,Advanced,Team,High School,Leader,Intuitive,Medium,Average,None,High,Software Engineer
Science,Beginner,Team,Bachelors,Leader,Logical,Low,Poor,Visionary,Very High,Doctor
Art,Intermediate,Flexible,Bachelors,Thinker,Practical,Very High,Average,Collaborative,Medium,Doctor
Business,Advanced,Solo,Bachelors,Thinker,Analytical,Medium,Poor,None,High,Software Engineer
Business,Intermediate,Team,Masters,Extrovert,Intuitive,Very High,Fluent,Collaborative,Low,Data Scientist
Business,Advanced,Remote,High School,Thinker,Practical,Low,Outstanding,None,Very High,Software Engineer
Business,Intermediate,Team,PhD,Introvert,Practical,High,Fluent,Strong,High,Graphic Designer
Art,Advanced,Remote,High School,Doer,Analytical,None,Average,None,Exceptional,Software Engineer
Art,Expert,Remote,Diploma,Doer,Practical,High,Fluent,Moderate,High,Data Scientist
Medicine,None,Office,Bachelors,Thinker,Logical,Very High,Poor,Visionary,Medium,Data Scientist
Business,None,Team,PhD,Extrovert,Analytical,Low,Outstanding,Visionary,High,Marketing Manager
Business,Intermediate,Flexible,PhD,Introvert,Practical,None,Excellent,Collaborative,High,Doctor
Science,None,Team,Diploma,Introvert,Logical,Medium,Excellent,Moderate,Low,Graphic Designer
Medicine,Advanced,Team,Masters,Introvert,Logical,None,Excellent,None,High,Software Engineer
Medicine,Beginner,Team,Masters,Doer,Practical,High,Average,Moderate,Low,Data Scientist
Art,None,Solo,Masters,Leader,Logical,High,Outstanding,Strong,High,Software Engineer
Science,None,Team,High School,Introvert,Intuitive,High,Average,Collaborative,High,Doctor
Business,Expert,Solo,Bachelors,Thinker,Practical,High,Excellent,None,Very High,Software Engineer
Medicine,Beginner,Remote,PhD,Introvert,Logical,Very High,Poor,Strong,Medium,Doctor
Business,Intermediate,Remote,Masters,Introvert,Intuitive,Very High,Fluent,Moderate,Exceptional,Marketing Manager
Business,Beginner,Flexible,Diploma,Introvert,Creative,None,Poor,Moderate,Exceptional,Software Engineer
Technology,Advanced,Remote,High School,Extrovert,Practical,High,Excellent,Strong,Medium,Graphic Designer
Technology,Beginner,Flexible,Diploma,Introvert,Practical,Medium,Excellent,Collaborative,Very High,Software Engineer
Medicine,Intermediate,Flexible,Diploma,Thinker,Analytical,Very High,Poor,Visionary,Very High,Marketing Manager
Technology,Beginner,Solo,Masters,Leader,Intuitive,High,Excellent,Collaborative,High,Marketing Manager
Technology,None,Office,Masters,Doer,Creative,High,Poor,Moderate,Low,Doctor
Medicine,Advanced,Team,Bachelors,Introvert,Practical,Low,Excellent,None,Exceptional,Data Scientist
Science,Intermediate,Remote,High School,Doer,Analytical,Medium,Outstanding,Visionary,Medium,Software Engineer
Business,Beginner,Solo,Diploma,Introvert,Analytical,High,Fluent,Moderate,Low,Data Scientist
Medicine,None,Flexible,PhD,Extrovert,Analytical,None,Excellent,Moderate,High,Graphic Designer
Art,Advanced,Team,High School,Thinker,Analytical,Medium,Excellent,Collaborative,High,Data Scientist
Technology,Intermediate,Flexible,Diploma,Thinker,Intuitive,High,Outstanding,Collaborative,Very High,Data Scientist
Business,Intermediate,Office,High School,Leader,Practical,High,Fluent,Strong,Exceptional,Marketing Manager
Science,Advanced,Remote,Masters,Leader,Analytical,High,Excellent,Collaborative,Exceptional,Graphic Designer
Science,Beginner,Flexible,Bachelors,Leader,Practical,High,Poor,Strong,High,Data Scientist
Science,Beginner,Remote,Masters,Extrovert,Practical,Medium,Excellent,None,Low,Graphic Designer
Medicine,Expert,Remote,High School,Introvert,Practical,Low,Poor,Strong,High,Data Scientist
Business,None,Remote,High School,Doer,Creative,Low,Poor,None,Low,Graphic Designer
Art,None,Flexible,High School,Extrovert,Practical,Very High,Poor,Strong,Low,Software Engineer
Business,None,Team,Masters,Thinker,Intuitive,Low,Excellent,Collaborative,Exceptional,Data Scientist
Science,None,Remote,Diploma,Introvert,Creative,Low,Outstanding,Moderate,Medium,Data Scientist
Medicine,Expert,Office,PhD,Introvert,Analytical,Medium,Poor,Moderate,High,Data Scientist
Science,Advanced,Team,High School,Introvert,Intuitive,High,Excellent,Visionary,Medium,Data Scientist
Art,Expert,Team,High School,Leader,Analytical,Medium,Excellent,Strong,Medium,Data Scientist
Science,Intermediate,Team,Diploma,Doer,Creative,High,Average,Visionary,Medium,Doctor
Art,None,Flexible,Masters,Introvert,Practical,Low,Average,Strong,High,Doctor
Medicine,Advanced,Team,Bachelors,Thinker,Intuitive,Medium,Outstanding,Moderate,Exceptional,Marketing Manager
Medicine,Beginner,Office,PhD,Introvert,Intuitive,Low,Average,Collaborative,Low,Software Engineer
Technology,Advanced,Remote,Bachelors,Introvert,Creative,Very High,Outstanding,None,Medium,Graphic Designer
Medicine,Expert,Solo,Bachelors,Introvert,Practical,Medium,Average,Collaborative,Low,Marketing Manager
Medicine,None,Office,PhD,Doer,Logical,Medium,Outstanding,Strong,Medium,Doctor
Medicine,Beginner,Team,High School,Extrovert,Practical,None,Outstanding,Visionary,Very High,Doctor
Business,Expert,Team,PhD,Extrovert,Analytical,Low,Average,Collaborative,Exceptional,Graphic Designer
Science,None,Remote,High School,Extrovert,Logical,Medium,Average,Strong,Low,Marketing Manager
Science,None,Flexible,Masters,Doer,Logical,High,Average,Strong,Exceptional,Graphic Designer
Science,Expert,Flexible,PhD,Extrovert,Logical,Low,Poor,Moderate,Exceptional,Doctor
Technology,Advanced,Team,High School,Introvert,Creative,Low,Fluent,Collaborative,Very High,Software Engineer
Business,None,Office,Masters,Extrovert,Logical,Very High,Poor,Strong,Exceptional,Doctor
Art,Expert,Office,PhD,Leader,Intuitive,Very High,Fluent,Collaborative,Low,Doctor
Business,None,Flexible,Masters,Doer,Practical,Low,Fluent,Moderate,High,Graphic Designer
Art,Intermediate,Solo,Diploma,Thinker,Logical,None,Outstanding,Strong,Low,Marketing Manager
Medicine,Expert,Flexible,Masters,Doer,Logical,None,Excellent,Visionary,Medium,Marketing Manager
Technology,Intermediate,Office,PhD,Introvert,Practical,Low,Poor,Moderate,Low,Doctor
Medicine,Intermediate,Solo,Bachelors,Thinker,Creative,Medium,Average,Strong,Medium,Marketing Manager
Business,Advanced,Solo,PhD,Extrovert,Creative,Very High,Fluent,None,Medium,Marketing Manager
Art,Beginner,Team,Masters,Introvert,Intuitive,High,Excellent,Strong,High,Doctor
Science,Advanced,Office,Bachelors,Extrovert,Creative,Very High,Outstanding,Moderate,Exceptional,Data Scientist
Business,None,Remote,Masters,Thinker,Creative,High,Poor,Visionary,Exceptional,Marketing Manager
Science,Expert,Remote,Masters,Leader,Logical,High,Excellent,Collaborative,Medium,Graphic Designer
Medicine,Beginner,Remote,Bachelors,Leader,Analytical,Very High,Poor,Collaborative,Medium,Doctor
Medicine,Intermediate,Team,Bachelors,Doer,Practical,High,Excellent,Collaborative,Exceptional,Doctor
Technology,Intermediate,Flexible,Bachelors,Leader,Logical,Medium,Outstanding,Collaborative,Exceptional,Doctor
Medicine,Expert,Flexible,Diploma,Leader,Logical,None,Poor,Moderate,Exceptional,Doctor
Medicine,Intermediate,Office,High School,Thinker,Logical,Very High,Fluent,Visionary,High,Graphic Designer
Art,Beginner,Office,Diploma,Leader,Creative,Low,Fluent,None,Medium,Graphic Designer
Art,Beginner,Team,Masters,Leader,Analytical,Very High,Excellent,Strong,Medium,Data Scientist
Technology,Intermediate,Office,Masters,Introvert,Analytical,High,Average,Collaborative,Very High,Doctor
Medicine,None,Remote,Diploma,Doer,Intuitive,Low,Average,None,High,Marketing Manager
Science,Intermediate,Office,High School,Thinker,Intuitive,High,Poor,None,Low,Data Scientist
Business,Beginner,Flexible,High School,Thinker,Practical,High,Poor,Strong,High,Doctor
Art,Intermediate,Solo,Diploma,Doer,Logical,High,Poor,Strong,Very High,Software Engineer
Technology,Advanced,Office,PhD,Thinker,Creative,Low,Excellent,Moderate,High,Graphic Designer
Medicine,Advanced,Office,Bachelors,Introvert,Creative,Medium,Average,Moderate,High,Graphic Designer
Medicine,Advanced,Team,Diploma,Doer,Creative,High,Fluent,Collaborative,Low,Marketing Manager
Technology,Intermediate,Remote,Masters,Thinker,Analytical,Very High,Excellent,Moderate,Exceptional,Software Engineer
Art,None,Team,Diploma,Leader,Analytical,Low,Average,Visionary,Very High,Graphic Designer
Art,Intermediate,Flexible,Masters,Introvert,Practical,Medium,Average,Moderate,Exceptional,Data Scientist
Medicine,Expert,Solo,High School,Doer,Logical,High,Poor,None,Low,Data Scientist
Science,None,Solo,PhD,Leader,Creative,None,Average,Collaborative,High,Data Scientist
Technology,Advanced,Remote,Diploma,Doer,Intuitive,Very High,Poor,Moderate,Very High,Software Engineer
Business,None,Team,PhD,Thinker,Intuitive,Low,Outstanding,Collaborative,Medium,Data Scientist
Medicine,Intermediate,Office,Diploma,Introvert,Logical,Low,Poor,None,Low,Marketing Manager
Technology,Intermediate,Flexible,Diploma,Introvert,Creative,Very High,Average,Visionary,Exceptional,Graphic Designer
Art,Beginner,Remote,PhD,Leader,Practical,Medium,Excellent,Moderate,Very High,Doctor
Medicine,None,Team,High School,Extrovert,Logical,Medium,Fluent,None,Low,Software Engineer
Technology,Expert,Office,Masters,Thinker,Analytical,Very High,Fluent,Visionary,Medium,Software Engineer
Business,Intermediate,Team,Masters,Thinker,Analytical,Low,Average,Visionary,Medium,Doctor
Technology,Intermediate,Solo,Masters,Introvert,Logical,Medium,Poor,Collaborative,Very High,Software Engineer
Medicine,Advanced,Solo,High School,Extrovert,Intuitive,High,Average,Collaborative,Low,Marketing Manager
Medicine,Intermediate,Office,Bachelors,Doer,Creative,None,Outstanding,Moderate,Medium,Marketing Manager
Technology,None,Office,PhD,Introvert,Creative,Low,Average,None,Low,Software Engineer
Business,Expert,Team,Bachelors,Leader,Logical,Low,Excellent,Visionary,High,Data Scientist
Science,Advanced,Solo,Masters,Extrovert,Practical,High,Poor,Collaborative,High,Marketing Manager
